"p_female","p_HDI_low","educ_pre_college","age_mean","STEM","Course.Staff.Gender","Course.Staff.Gender.Photos","Course.Staff.Race.Photos","Textio.Tone.Analysis.About","Watson.Overall.Sentiment.About","Prestige.Markers","Watson.Joy.About","Reference.to.diversity.accessibility","Prerequisites","Weekly.Effort","Quizzes.or.tests","Watson.Disgust.About","Watson.Sadness.About","Textio.Score.About","Textio.Score.FAQ","Course.Title.Intro","Self.Paced"
0.149375236652783,0.319449410082231,0.216550154446431,27.9515969053759,1,-1,-1,0,1,0.816889,1,0.622619,0,1,4,0,0.077095,0.134678,32,NA,0,1
0.452445021805697,0.168378576669112,0.137981831573779,32.9781494730736,1,0,NA,NA,1,0.976259,1,0.745871,1,0,3,0,0.026538,0.021358,29,30,0,1
0.203092783505155,0.251028806584362,0.168473728106756,28.8010810810811,1,-1,NA,NA,0,0.803697,1,0.625358,0,0,NA,0,0.041403,0.123989,33,27,0,0
0.290969899665552,0.491886043995673,0.406022501654533,29.8364326375712,1,-1,-1,0,-1,0.801862,1,0.749811,1,0,3,1,0.044272,0.087192,40,25,0,1
0.149012999518536,0.384478935698448,0.30042773525439,27.9026766991489,1,-1,-1,0,-1,0.840081,1,0.573426,0,1,9,0,0.065095,0.154199,20,33,0,0
0.146341463414634,0.363881401617251,0.249488752556237,28.1046643913538,1,-1,-1,0,1,0.974915,1,0.74095,0,1,9,0,0.013176,0.044082,21,46,0,0
0.71359458151911,0.30309072781655,0.264032330489448,27.7154268597104,0,1,1,0,1,0.600458,0,0.574685,0,0,3,0,0.074797,0.245176,30,40,0,1
0.26670920401978,0.215524360033031,0.185211876621505,33.9338355715689,0,-1,-1,0,-1,0.430881,1,0.491715,0,0,7,1,0.075216,0.194147,25,14,0,0
0.607915567282322,0.174147217235189,0.261140392908481,33.4435883324161,0,1,1,0,-1,0.538491,0,0.15622,0,0,1,1,0.076604,0.156482,34,41,0,1
0.499005964214712,0.23542600896861,0.251327433628319,31.6446280991736,0,1,1,0,-1,0.345874,0,0.161121,0,0,NA,1,0.099101,0.175195,35,37,0,1
0.501312335958005,0.17027027027027,0.234192037470726,30.1689373297003,0,1,1,0,-1,0.345874,0,0.161121,0,0,NA,1,0.099101,0.175195,35,37,0,1
0.570100697134005,0.101681345076061,0.147843942505133,34.3083735909823,0,1,1,0,-1,0.266577,1,0.594027,0,0,NA,0,0.067053,0.143281,26,34,0,1
